start_time_minute,delta_P_kW,duration_minutes
0.0,-395.0,0.0
0.0,-390.0,0.0
0.0,-385.0,0.0
0.0,-380.0,0.0
0.0,-375.0,0.0
0.0,-370.0,0.0
0.0,-365.0,0.0
0.0,-360.0,0.0
0.0,-355.0,0.0
0.0,-350.0,0.0
0.0,-345.0,0.0
0.0,-340.0,0.0
0.0,-335.0,0.0
0.0,-330.0,0.0
0.0,-325.0,0.0
0.0,-320.0,0.0
0.0,-315.0,0.0
0.0,-310.0,0.0
0.0,-305.0,0.0
0.0,-300.0,0.0
0.0,-295.0,0.0
0.0,-290.0,0.0
0.0,-285.0,0.0
0.0,-280.0,0.0
0.0,-275.0,0.0
0.0,-270.0,0.0
0.0,-265.0,0.0
0.0,-260.0,0.0
0.0,-255.0,0.0
0.0,-250.0,0.0
0.0,-245.0,0.0
0.0,-240.0,0.0
0.0,-235.0,0.0
0.0,-230.0,0.0
0.0,-225.0,0.0
0.0,-220.0,0.0
0.0,-215.0,0.0
0.0,-210.0,0.0
0.0,-205.0,0.0
0.0,-200.0,0.0
0.0,-195.0,0.0
0.0,-190.0,0.0
0.0,-185.0,0.0
0.0,-180.0,0.0
0.0,-175.0,0.0
0.0,-170.0,0.0
0.0,-165.0,0.0
0.0,-160.0,0.0
0.0,-155.0,0.0
0.0,-150.0,0.0
0.0,-145.0,0.0
0.0,-140.0,0.0
0.0,-135.0,0.0
0.0,-130.0,0.0
0.0,-125.0,0.0
0.0,-120.0,0.0
0.0,-115.0,0.0
0.0,-110.0,0.0
0.0,-105.0,0.0
0.0,-100.0,0.0
0.0,-95.0,0.0
0.0,-90.0,0.0
0.0,-85.0,0.0
0.0,-80.0,0.0
0.0,-75.0,0.0
0.0,-70.0,0.0
0.0,-65.0,124.0
0.0,-60.0,134.0
0.0,-55.0,148.0
0.0,-50.0,161.0
0.0,-45.0,179.0
0.0,-40.0,204.0
0.0,-35.0,233.0
0.0,-30.0,269.0
0.0,-25.0,329.0
0.0,-20.0,410.0
0.0,-15.0,545.0
0.0,-10.0,824.0
0.0,-5.0,1440.0
0.0,5.0,1440.0
0.0,10.0,1139.0
0.0,15.0,743.0
0.0,20.0,551.0
0.0,25.0,437.0
0.0,30.0,361.0
0.0,35.0,307.0
0.0,40.0,268.0
0.0,45.0,238.0
0.0,50.0,212.0
0.0,55.0,181.0
0.0,60.0,166.0
0.0,65.0,153.0
0.0,70.0,142.0
0.0,75.0,139.0
0.0,80.0,129.0
0.0,85.0,117.0
0.0,90.0,115.0
0.0,95.0,107.0
0.0,100.0,102.0
0.0,105.0,97.0
0.0,110.0,90.0
0.0,115.0,86.0
0.0,120.0,83.0
0.0,125.0,80.0
0.0,130.0,76.0
0.0,135.0,74.0
0.0,140.0,71.0
0.0,145.0,68.0
0.0,150.0,66.0
0.0,155.0,64.0
0.0,160.0,62.0
0.0,165.0,60.0
0.0,170.0,58.0
0.0,175.0,57.0
0.0,180.0,55.0
0.0,185.0,54.0
0.0,190.0,52.0
0.0,195.0,51.0
0.0,200.0,50.0
0.0,205.0,48.0
0.0,210.0,47.0
0.0,215.0,46.0
0.0,220.0,45.0
0.0,225.0,44.0
0.0,230.0,43.0
0.0,235.0,42.0
0.0,240.0,41.0
0.0,245.0,40.0
0.0,250.0,40.0
0.0,255.0,39.0
0.0,260.0,38.0
0.0,265.0,37.0
0.0,270.0,37.0
0.0,275.0,36.0
0.0,280.0,35.0
0.0,285.0,35.0
0.0,290.0,34.0
0.0,295.0,33.0
0.0,300.0,33.0
0.0,305.0,33.0
0.0,310.0,33.0
0.0,315.0,33.0
0.0,320.0,33.0
0.0,325.0,33.0
0.0,330.0,28.0
0.0,335.0,22.0
0.0,340.0,18.0
0.0,345.0,16.0
0.0,350.0,12.0
0.0,355.0,10.0
0.0,360.0,10.0
0.0,365.0,8.0
0.0,370.0,6.0
0.0,375.0,6.0
0.0,380.0,4.0
0.0,385.0,4.0
0.0,390.0,4.0
0.0,395.0,2.0
